TwoNN,MLE,lPCA,PCA_participation_ratio,PCA_dim_90pct,PCA_dim_95pct,eig_decay_exponent,effective_rank,betti0,betti1,H1_total_persistence,H1_max_lifetime,cloud_diameter,H1_max_lifetime_frac,spline_r2,curvature_gain,local_id_mean,local_id_cv,instr_frac,quest_frac,interaction_frac,log_var,rms_radius,role,axis_proj,mean_norm,cos_axis,dist_default
3.3998557740945845,5.303328229123371,22.0,13.124548970413976,28,36,-1.1733422851723632,23.470296868575915,175,0,64.2047529220581,2.8521547317504883,35.44285687679607,0.08047191967805939,0.8096535039054846,0.4143351539693556,4.442883597101621,0.2829166323390705,0.11718466752256872,0.6478784496533465,0.23493688282408443,10.819769578404301,15.81131947397114,aberration,-1.1270749582258537,3.174216912848556,-0.35507181429967616,5.406215665598005
6.941634618318733,8.359889912392179,34.0,19.243081455983766,33,41,-0.9565331686176152,30.372152056191343,200,0,73.05186748504639,1.6983985900878906,25.700702893214025,0.06608374086672678,0.6538667209029503,0.3418780596924542,6.07223648591668,0.12175014186434395,0.05636823234057289,0.561000168951118,0.3826315987083092,10.32945681523542,12.373656344576737,absurdist,-9.138830463528553,13.043640156336176,-0.70063497259921,15.608952965020467
3.2344694385718737,2.977554725226918,27.0,16.452113529561284,28,36,-1.176194841407883,26.150136663098603,163,0,28.496944904327393,2.2750167846679688,33.39414178657196,0.06812622403079005,0.8904025124742383,0.5557748129769857,3.3527330471107497,0.25671118541711013,0.014908875417922204,0.820133876675573,0.16495724790650437,10.729447190759512,15.1131452595659,accountant,1.823253818425974,4.699059652983399,0.38800397378833085,4.606277599514284
3.944847470977993,2.3764297075892777,26.0,15.652193994230934,26,34,-1.267325942545504,24.881188469175342,157,0,24.017040252685547,2.206122398376465,34.52249083168438,0.06390391727910052,0.9252579983983573,0.5681592956773543,3.0776349743285634,0.2589089861818389,0.007398409171467344,0.8655228069710752,0.1270787838574573,10.755827440796775,15.313810022332058,activist,1.929414638614063,3.5727688486895515,0.540033436342166,3.3438180638430968
4.002187976349118,4.358948354788248,26.0,16.286663648934717,28,36,-1.1556612127802006,26.262237887588455,186,0,54.073331356048584,2.6398048400878906,34.40657266822501,0.07672385347831492,0.825368948810041,0.4876998221196125,4.176489133942773,0.23890380431069805,0.03277740167769392,0.7210015099845699,0.24622108833773637,10.707967448279462,14.951700525091715,actor,-1.1718109606429443,3.699536842453189,-0.31674531449345106,5.756871934353975
4.3415638269420995,3.751898591294638,24.0,14.312853810311148,27,35,-1.2011996591801206,24.34981078381486,187,0,36.39222002029419,2.341965675354004,35.76581091684464,0.06548056972059334,0.8541877540147528,0.4842203128951721,3.9570368067874107,0.26956414821136965,0.023029461518349385,0.7783534119172383,0.1986171265644124,10.645824294497118,14.49427094304071,addict,0.5690920198789141,4.595807744360963,0.1238285088355116,5.363417897757705
3.550190779455914,3.5238926493823226,27.0,15.322469077369885,28,36,-1.1848761090090818,25.246754757112125,187,0,43.82666540145874,3.02398681640625,35.758522340609815,0.0845668841570672,0.8418099801380834,0.4814808847501668,3.851766647592775,0.21371663359742593,0.04588072157429652,0.7777860873802539,0.17633319104544964,10.731017288305043,15.125014474051103,adolescent,0.8352101993236019,6.636646132134929,0.12584823458937758,7.062898991483603
3.7588612642665784,2.1465969232518067,28.0,15.69798817860259,27,34,-1.2435147198938332,25.11707297135978,143,0,19.03325843811035,2.4767513275146484,36.46525382887863,0.06792085800738859,0.9292408362915346,0.5722668251105777,2.799002942359815,0.2840076196949201,0.008465108456591798,0.8711098033951918,0.12042508814821555,10.810929575014299,15.741587636042711,advocate,2.4101349397898972,3.1534545888224863,0.7642840167518797,2.258215074067582
4.845185653900602,6.134686873249958,28.0,15.841826007516458,30,38,-1.1042181741856791,26.126569923773474,200,0,58.87828588485718,2.40728759765625,32.50479682810017,0.07405945683608048,0.7657373602038333,0.39951538516108887,4.972966265914007,0.21026135127348386,0.07465898612540729,0.6755489329884845,0.2497920808861081,10.563561465991809,13.910195350442418,alien,-3.3005058134735714,5.663559729712608,-0.5827617207174846,8.122306940046379
3.9442508924222826,2.2211678378501944,25.0,14.483005484853143,26,33,-1.2949978261016044,23.87870693824126,140,0,24.878549575805664,2.1070146560668945,35.72555691390782,0.05897779735510972,0.9300848435341487,0.5550725599751996,2.8953868287222235,0.28336847610789434,0.007487314543214927,0.8730767726440294,0.11943591281275556,10.779168729982475,15.493579026108389,altruist,1.6530636594508512,3.186445065245943,0.5187799022429596,3.2318145671212966
3.9718482360323284,2.200617822776153,27.0,15.397255010248893,27,34,-1.241236724272002,24.996891993678567,160,0,18.778095245361328,2.1051883697509766,35.41622111394799,0.05944136058383397,0.9267964637229155,0.5616294463303051,2.8895531967118586,0.28660446305693293,0.010306980356980763,0.8623956013728384,0.12729741827018048,10.81542140598113,15.776981642543971,amateur,1.6690812885415554,3.496786235900076,0.47731865088170944,3.5227892962838654
